impl,num_threads,i,grid_size,time
omp,1,22,4096,15.556841
omp,1,22,512,0.251949
omp,1,22,64,0.003760
omp,1,22,8,0.000061
omp,1,23,1024,1.001410
omp,1,23,128,0.016165
omp,1,23,2048,4.007657
omp,1,23,256,0.062464
omp,1,23,32,0.000929
omp,1,23,4096,16.022307
omp,1,23,512,0.249458
omp,1,23,64,0.003829
omp,1,23,8,0.000061
omp,1,24,1024,0.975445
omp,1,24,128,0.016056
omp,1,24,2048,3.902895
omp,1,24,256,0.064040
omp,1,24,32,0.000896
omp,1,24,4096,16.011609
omp,1,24,512,0.244610
omp,1,24,64,0.003781
omp,1,24,8,0.000063
omp,1,25,1024,1.001369
omp,1,25,128,0.015499
omp,1,25,2048,3.913331
omp,1,25,256,0.062285
omp,1,25,32,0.000888
omp,1,25,4096,15.582371
omp,1,25,512,0.249985
omp,1,25,64,0.003803
omp,1,25,8,0.000060
omp,1,26,1024,1.000142
omp,1,26,128,0.015548
omp,1,26,2048,3.905301
omp,1,26,256,0.062440
omp,1,26,32,0.000917
omp,1,26,4096,16.039080
omp,1,26,512,0.250539
omp,1,26,64,0.003826
omp,1,26,8,0.000064
omp,1,27,1024,0.977255
omp,1,27,128,0.015667
omp,1,27,2048,3.905880
omp,1,27,256,0.063862
omp,1,27,32,0.000917
omp,1,27,4096,16.015752
omp,1,27,512,0.249927
omp,1,27,64,0.003825
omp,1,27,8,0.000066
omp,1,28,1024,0.973923
omp,1,28,128,0.015578
omp,1,28,2048,3.903834
omp,1,28,256,0.061228
omp,1,28,32,0.000886
omp,1,28,4096,16.032370
omp,1,28,512,0.250071
omp,1,28,64,0.003836
omp,1,28,8,0.000065
omp,1,29,1024,0.977737
omp,1,29,128,0.015570
omp,1,29,2048,3.918843
omp,1,29,256,0.062329
omp,1,29,32,0.000981
omp,1,29,4096,16.025812
omp,1,29,512,0.250134
omp,1,29,64,0.003779
omp,1,29,8,0.000065
omp,1,30,1024,1.000454
omp,1,30,128,0.015404
omp,1,30,2048,4.013118
omp,1,30,256,0.061657
omp,1,30,32,0.000930
omp,1,30,4096,15.572741
omp,1,30,512,0.250273
omp,1,30,64,0.003866
omp,1,30,8,0.000061
omp,2,1,1024,0.503279
omp,2,1,128,0.007809
omp,2,1,2048,2.010537
omp,2,1,256,0.031660
omp,2,1,32,0.000541
omp,2,1,4096,7.937609
omp,2,1,512,0.127547
omp,2,1,64,0.002040
omp,2,1,8,0.000100
omp,2,2,1024,0.501900
omp,2,2,128,0.007818
omp,2,2,2048,2.010213
omp,2,2,256,0.031489
omp,2,2,32,0.000543
omp,2,2,4096,8.028669
omp,2,2,512,0.125285
omp,2,2,64,0.002037
omp,2,2,8,0.000101
